CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,AMBITO,LAT_DEC,LON_DEC,ALTITUD,CVE_CARTA
1,Aguascalientes,Ags.,1,Aguascalientes,1,Aguascalientes,U,21.879823,-102.296047,1878,F13D19
1,Aguascalientes,Ags.,1,Aguascalientes,239,General José María Morelos y Pavón (Cañada Honda),U,22.000604,-102.200656,1913,F13B89
1,Aguascalientes,Ags.,1,Aguascalientes,293,Norias de Ojocaliente,U,21.889375,-102.217283,1958,F13D19
1,Aguascalientes,Ags.,1,Aguascalientes,357,Norias del Paso Hondo,U,21.860453,-102.207155,1970,F13D19
1,Aguascalientes,Ags.,1,Aguascalientes,479,Villa Licenciado Jesús Terán (Calvillito),U,21.824136,-102.187974,1959,F13D19
1,Aguascalientes,Ags.,1,Aguascalientes,1025,Pocitos,U,21.92249,-102.334772,1854,F13D18
1,Aguascalientes,Ags.,2,Asientos,1,Asientos,U,22.238317,-102.089275,2168,F13B89
1,Aguascalientes,Ags.,2,Asientos,11,Ciénega Grande,U,22.194395,-102.018849,2006,F13B89
1,Aguascalientes,Ags.,2,Asientos,59,Villa Juárez,U,22.095563,-102.070793,1982,F13B89
1,Aguascalientes,Ags.,3,Calvillo,1,Calvillo,U,21.846907,-102.718751,1632,F13D17
1,Aguascalientes,Ags.,3,Calvillo,55,Ojocaliente,U,21.877456,-102.675316,1694,F13D17
1,Aguascalientes,Ags.,4,Cosío,1,Cosío,U,22.366409,-102.300044,2004,F13B79
1,Aguascalientes,Ags.,5,Jesús María,1,Jesús María,U,21.961273,-102.343416,1878,F13D18
1,Aguascalientes,Ags.,5,Jesús María,23,Corral de Barrancos,U,21.943546,-102.330009,1861,F13D19
1,Aguascalientes,Ags.,5,Jesús María,41,Jesús Gómez Portugal (Margaritas),U,21.998873,-102.290917,1892,F13D19
1,Aguascalientes,Ags.,5,Jesús María,245,El Llano,U,21.940426,-102.309018,1881,F13D19
1,Aguascalientes,Ags.,5,Jesús María,427,Paseos de Aguascalientes,U,21.968809,-102.296432,1881,F13D19
1,Aguascalientes,Ags.,5,Jesús María,468,Arboledas Paso Blanco [Fraccionamiento],U,21.963472,-102.300062,1879,F13D19
1,Aguascalientes,Ags.,6,Pabellón de Arteaga,1,Pabellón de Arteaga,U,22.149202,-102.276542,1912,F13B89
1,Aguascalientes,Ags.,6,Pabellón de Arteaga,7,Emiliano Zapata,U,22.10542,-102.299727,1892,F13B89
1,Aguascalientes,Ags.,7,Rincón de Romos,1,Rincón de Romos,U,22.229233,-102.323069,1952,F13B89
1,Aguascalientes,Ags.,7,Rincón de Romos,18,Pablo Escaleras,U,22.248452,-102.333222,1993,F13B89
1,Aguascalientes,Ags.,7,Rincón de Romos,30,Pabellón de Hidalgo,U,22.176416,-102.340615,1932,F13B88
1,Aguascalientes,Ags.,8,San José de Gracia,1,San José de Gracia,U,22.150216,-102.415634,2052,F13B88
1,Aguascalientes,Ags.,9,Tepezalá,1,Tepezalá,U,22.224228,-102.166971,2101,F13B89
1,Aguascalientes,Ags.,9,Tepezalá,25,San Antonio,U,22.228249,-102.25073,1914,F13B89
